no,type,image,x,y,z,rx,ry,rz,rot,size_x,size_y,corners_x,corners_y
1,r,image1_r.jpg,0.25,0.0,0.1,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
1,l,image1_l.jpg,0.25,0.0,0.1,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
9,r,image9_r.jpg,0.4,0.0,0.1,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
9,l,image9_l.jpg,0.4,0.0,0.1,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
10,r,image10_r.jpg,0.4,0.1,0.1,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
10,l,image10_l.jpg,0.4,0.1,0.1,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
11,r,image11_r.jpg,0.4,-0.1,0.1,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
11,l,image11_l.jpg,0.4,-0.1,0.1,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
19,r,image19_r.jpg,0.4,0.1,0.15,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
19,l,image19_l.jpg,0.4,0.1,0.15,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
24,r,image24_r.jpg,0.2,0.0,0.05,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
24,l,image24_l.jpg,0.2,0.0,0.05,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
29,r,image29_r.jpg,0.2,0.15,0.05,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
31,r,image31_r.jpg,0.2,0.15,0.1,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
36,r,image36_r.jpg,0.2,0.0,0.12,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
36,l,image36_l.jpg,0.2,0.0,0.12,0.0,0.894427,0.447214,1.0,0.1,0.1,7,7
