no,type,image,cam_x,cam_y,cam_z,x,y,z,rx,ry,rz,rot,size_x,size_y,corners_x,corners_y
0,r,image0_r.jpg, -0.05, 0.0, 0.05, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
0,l,image0_l.jpg, -0.05, 0.0, 0.05, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
61,r,image61_r.jpg, -0.15, 0.0, 0.05, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,5,5
61,l,image61_l.jpg, -0.15, 0.0, 0.05, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
68,r,image68_r.jpg, -0.15, 0.0, 0.155, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,5,5
68,l,image68_l.jpg, -0.15, 0.0, 0.155, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
75,r,image75_r.jpg, -0.0, 0.0, 0.055, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,7,7
75,l,image75_l.jpg, -0.0, 0.0, 0.055, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
83,r,image83_r.jpg, -0.0, 0.0, 0.114, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
83,l,image83_l.jpg, -0.0, 0.0, 0.114, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
84,r,image84_r.jpg, -0.47, 0.0, 0.104, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
84,l,image84_l.jpg, -0.47, 0.0, 0.104, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
89,r,image89_r.jpg, -0.28, 0.0, 0.184, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
89,l,image89_l.jpg, -0.28, 0.0, 0.184, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
91,r,image91_r.jpg, -0.28, -0.11, 0.164, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
91,l,image91_l.jpg, -0.28, -0.11, 0.164, 0.25, 0.0,0.1,0.0,0.894427,0.447214,-1.0,0.1,0.1,6,6
36,r,image36_r.jpg,-0.05,-5.05,0.0496,null,null,null,null,null,null,null,null,null,null,null
36,l,image36_l.jpg,-0.05,-5.05,0.0496,null,null,null,null,null,null,null,null,null,null,null
12,r,image12_r.jpg,0.102,-5.04,0.0931,null,null,null,null,null,null,null,null,null,null,null
12,l,image12_l.jpg,0.102,-5.04,0.0931,null,null,null,null,null,null,null,null,null,null,null
14,r,image14_r.jpg,-0.099,-5.05,0.0868,null,null,null,null,null,null,null,null,null,null,null
14,l,image14_l.jpg,-0.099,-5.05,0.0868,null,null,null,null,null,null,null,null,null,null,null
16,r,image16_r.jpg,-0.0949368,-5.0,0.126572,null,null,null,null,null,null,null,null,null,null,null
16,l,image16_l.jpg,-0.0949368,-5.0,0.126572,null,null,null,null,null,null,null,null,null,null,null
17,r,image17_r.jpg,-0.0949368,-5.16,0.106482,null,null,null,null,null,null,null,null,null,null,null
17,l,image17_l.jpg,-0.0949368,-5.16,0.106482,null,null,null,null,null,null,null,null,null,null,null

